author,date,verified_purchase,stars,comment,agg_rating,topic,title
sammpo,01/08/2023,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
George_Arvanitis92,21/11/2024,True,5,,,,"HP Elitebook Folio 1040 G3 Refurbished Grade A 14"" (Core i5-6300U/16GB/256GB SSD/W10 Pro)"
Arsenios_Trachanatzis,23/04/2025,True,5,,,,"Lenovo Thinkpad T570 Refurbished Grade A 15.6"" (Core i7-7600U/32GB/512GB SSD/W11 Pro)"
sunnymike,01/04/2025,True,5,Όλα κομπλέ και άψογα. Είναι σημαντικό να επιλέξει κανείς ανάμεσα σε Grade A B κλπ. Έτσι έχεις και το ανάλογο μηχάνημα και στο Grade A είναι σαν καινούριο,,,"Lenovo Thinkpad X250 Refurbished Grade A 12.5"" (Core i5-5300U/8GB/240GB SSD/W10 Pro)"
George_Arvanitis92,21/11/2024,True,5,,,,"HP Elitebook Folio 1040 G3 Refurbished Grade A 14"" (Core i5-6300U/16GB/256GB SSD/W10 Pro)"
pitsatzereme67,18/03/2025,True,4,Για τα λεφτά του ήταν πολύ καλό,,,"Apple Macbook Pro A1278 Refurbished Grade A 13.3"" (Core i5-3210/8GB/500GB SSD)"
stamatelosst,14/04/2025,True,5,,,,"Lenovo ThinkPad L560 Refurbished Grade A 15.6"" (Core i5-6300U/8GB/256GB SSD/W10 Pro)"
Demetrios.vlachos,01/09/2023,False,5,"ειναι η καλυτερη επενδυση που εχω κανει, αξιζει πληρως τα λεφτα που εδωσα και ακομα παραπανω. τρεχει τα παντα απο παιχνιδια που παιζω (LoL,WAR THUNDER CS:GO) σε φουλ καλα γραφικα με 60 fps, δεν ανεβαζει θερμοκρασια ευκολα και ειναι φουλ αθορυβο.","{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"Dell Latitude E7470 Refurbished Grade A 14"" (Core i5-6300U/4GB/120GB SSD/W10 Pro)"
giorgos.k.den.eimai.kala,16/12/2024,False,5,,,,"Dell XPS 13 9370 Touch Refurbished Grade A 13.3"" (Core i7-8550U/8GB/256GB SSD/No OS)"
mariostheoharatos,28/01/2025,True,5,,,,"Lenovo Thinkpad T490 Refurbished Grade A 14"" (Core i5-8365U/8GB/256GB SSD/W10 Pro)"
ΔΙΑ ΧΕΙΡΟΣ ΛΕΝΙΩ,05/04/2025,True,4,,,,"Lenovo Thinkpad L450 Refurbished Grade A 14.1"" (Core i5-4300u/16GB/120GB SSD/No OS)"
Ageliki_Margelou,09/04/2025,True,5,Έχω χαρεί άπειρα! Τα καλύτερα λεφτά που έχω δώσει. Τον ήθελα για επαγγελματικους λόγους. Τρέχει PMS ξενοδοχείου και πολλες καρτέλες ταυτόχρονα. Αλήθεια τα καλύτερα λεφτά που έχω δώσει!,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"Dell Latitude 7480 Refurbished Grade A 14"" (Core i5-7300U/8GB/512GB SSD/W11 Pro)"
trikelef,31/12/2024,True,3,"Προσοχή! Το laptop είναι αρκετά παλιό μοντέλο, π.χ. δεν έχει HDMI output.",,,"Lenovo Thinkpad T550 Refurbished Grade A 15.6"" (Core i5-5300U/16GB/500GB SSD/W10 Pro)"
Giorgos_Vattis,30/01/2024,True,4,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Βάρος'], 'so-so': ['Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'cons': ['Διάρκεια μπαταρίας']}",,"Lenovo Thinkpad X201 Refurbished Grade A 12.1"" (Core i5-M520/8GB/120GB SSD/W10 Pro)"
sotossta,20/08/2024,True,5,,,,"Dell Latitude 5490 Refurbished Grade A 14"" (Core i5-8350U/8GB/256GB SSD/W10 Pro)"
